,URN,Postcode,YEAR,Grades_scaled
408,135600,HA99JR,2016,0.5500885426223822
410,135373,NW99HA,2016,0.4281947428917115
411,141019,HA97DU,2016,0.12636247689195554
412,101575,NW66PE,2016,0.3817590096609796
413,136656,HA30UH,2016,0.3004964765071993
415,140796,NW97LY,2016,0.6081332091607968
416,101583,NW90JY,2016,0.6719823423530524
418,138457,HA03NT,2016,0.6545689423915283
419,142560,HA30NB,2016,0.6429600090838452
422,138609,NW67BQ,2016,0.37015007635329694
423,134226,NW103ST,2016,0.677786809006894
426,134175,BR49HW,2016,0.4456081428532357
428,130430,BR28HE,2016,-0.1116206559155443
429,136464,BR75PS,2016,0.5384796093146991
430,136466,BR28HZ,2016,-2.20703311795231
431,136517,BR28HP,2016,-0.09420725595401969
434,101676,BR69SH,2016,0.49784834273780876
435,101693,SE94QF,2016,0.6429600090838452
436,137006,BR33BE,2016,0.3179098764687239
438,136709,BR75LJ,2016,0.6313510757761626
440,136545,TN163AU,2016,0.5500885426223822
441,136551,BR69SA,2016,-2.2824911844522493
442,136467,BR76HE,2016,0.3527366763917723
443,101695,BR76SD,2016,1.1131218080450034
445,136586,BR33BP,2016,-2.1954241846446276
446,101685,BR76LR,2016,1.147948607968052
447,143427,BR54LG,2016,0.2656696765841504
448,101692,BR12TW,2016,-0.024553656107922442
449,136265,BR27AB,2016,1.0260548082373815
450,101680,BR75ES,2016,0.3933679429686627
451,136644,BR27DB,2016,0.776462742122199
452,101683,BR20BS,2016,0.23664734331494316
453,135670,BR13HY,2016,0.23084287666110204
454,136355,BR68ER,2016,0.8519208086221377
455,137379,BR31QR,2016,0.2888875431995166
456,137121,BR33SJ,2016,0.8867476085451865
459,141989,BR69BD,2016,-1.5743462526835914
460,136281,DA145AA,2016,0.21923394335341895
461,135311,SE192JH,2016,1.0260548082373815
462,131280,SE191RS,2016,-2.1838152513369447
463,101845,CR28YB,2016,2.117294539159576
465,101821,CR82XP,2016,-0.5875869215305436
466,135955,CR26DT,2016,0.4630215428147603
469,101851,CR77BN,2016,0.17279821012268745
474,101814,CR92EE,2016,-1.823938318798774
475,135654,CR51ES,2016,1.0899039414296376
476,137567,CR01DN,2016,-1.8935919186448715
477,139906,SE193UG,2016,-1.7136534523757865
478,101823,CR95AS,2016,0.6197421424684795
479,101849,CR02HN,2016,0.17279821012268745
481,101853,BR33BZ,2016,0.8751386752375035
484,101811,CR05JQ,2016,0.7532448755068332
485,135968,CR97AL,2016,-2.0793348515677983
486,136203,CR28HD,2016,0.5849153425454306
487,101842,CR97AT,2016,0.5036528093916502
489,138221,SE193HL,2016,0.4630215428147603
490,138178,CR81EX,2016,0.2598652099303093
491,137772,CR05EF,2016,0.7706582754683574
492,130434,CR28JJ,2016,1.2814513410064055
493,138187,CR52EH,2016,0.14377587685348017
494,133528,CR05SX,2016,0.7300270088914671
496,134585,CR06BE,2016,0.2888875431995166
497,101846,CR01AX,2016,0.7358314755453086
498,141210,CR93AS,2016,0.9970324749681742
499,142040,CR07NJ,2016,-0.1754697891078
500,101835,CR95BX,2016,0.6139376758146379
501,137754,CR78BT,2016,1.2117977411603083
502,101813,CR04BH,2016,0.6545689423915283
503,101837,CR26YT,2016,1.821266739813661
504,101947,W52ES,2016,0.49784834273780876
505,101957,W37HD,2016,0.32371434312256503
507,101928,UB13BT,2016,0.8112895420452478
510,101970,W130JG,2016,0.24825627662262623
512,137221,W71EU,2016,0.5094572760454918
514,137546,W39PP,2016,2.024423072698112
515,101940,UB12GU,2016,0.4398036761993942
516,131982,UB13HF,2016,0.9970324749681742
517,134369,UB55LQ,2016,0.637155542430004
518,137729,UB25HF,2016,0.7648538088145159
521,133444,W55AL,2016,1.107317341391162
523,135493,W130NP,2016,0.6719823423530524
524,101939,W71JJ,2016,0.8054850753914062
525,101941,W30HW,2016,1.3162781409294544
527,101954,W138AX,2016,0.8054850753914062
528,101943,UB54HP,2016,0.016077610468967926
529,131310,W72AH,2016,0.10314461027658979
