,URN,Absence,YEAR,Postcode
1469,137729,3.3,2017,UB25HF
1470,101932,6.0,2017,W38EY
1471,131310,4.8,2017,W72AH
1472,137546,5.3,2017,W39PP
1473,101934,3.9,2017,UB69AW
1478,101939,4.6,2017,W71JJ
1479,101940,4.8,2017,UB12GU
1480,101941,5.8,2017,W30HW
1481,137221,4.8,2017,W71EU
1482,101943,7.3,2017,UB54HP
1483,134369,5.3,2017,UB55LQ
1484,101965,8.2,2017,UB56AG
1487,101969,12.4,2017,UB55LD
1488,101970,6.5,2017,W130JG
1556,139599,3.9,2017,EN34SA
1557,139815,3.9,2017,EN35PA
1558,143197,5.8,2017,N99JZ
1559,136327,4.4,2017,EN11YQ
1560,102045,5.4,2017,N213HS
1561,142727,5.2,2017,EN40BL
1562,102048,5.7,2017,EN26QG
1563,102049,6.1,2017,EN13HQ
1564,102050,7.0,2017,EN36TW
1565,132256,4.6,2017,N211QQ
1566,102052,5.5,2017,EN13PU
1567,102053,3.7,2017,N135TY
1569,102055,2.9,2017,N99TN
1570,102056,5.7,2017,N147HY
1571,102058,5.0,2017,EN14NP
1572,137094,4.3,2017,EN26LN
1573,134311,6.0,2017,EN37XH
1574,135958,6.2,2017,EN34PX
1575,136147,7.3,2017,N181NB
1576,136157,8.1,2017,N98DQ
1578,102067,11.4,2017,N99TU
1647,140935,4.6,2017,N179LN
1648,140968,9.5,2017,N170BX
1649,102153,5.5,2017,N89JF
1650,102154,5.5,2017,N88RN
1652,102156,5.2,2017,N101NE
1653,102157,4.9,2017,N156EB
1654,137745,5.4,2017,N225QJ
1655,137531,5.1,2017,N112AZ
1656,131757,4.8,2017,N153QR
1657,139362,4.6,2017,N225HN
1658,139616,6.1,2017,N227ST
1659,133386,6.4,2017,N87NU
1660,102175,8.5,2017,N101NJ
1661,102176,12.3,2017,N170PG
1663,102178,9.3,2017,N225QJ
1706,138227,3.9,2017,HA72EQ
1708,137204,4.9,2017,HA36NR
1709,137075,4.2,2017,HA71PL
1710,137199,5.7,2017,HA86AN
1711,137028,4.2,2017,HA55RP
1712,102239,3.5,2017,HA20AD
1713,137198,5.2,2017,HA29AH
1714,137178,4.5,2017,HA73JW
1715,137177,5.8,2017,HA12JG
1716,102243,5.2,2017,HA37AY
1717,138458,5.9,2017,HA35DY
1718,102260,6.6,2017,HA36LE
1782,137197,6.1,2017,RM141SF
1783,137396,4.9,2017,RM30TS
1784,136576,6.8,2017,RM137BB
1785,137414,6.3,2017,RM113AD
1786,143428,4.6,2017,RM139XD
1787,102341,5.4,2017,RM126RT
1788,143946,6.3,2017,RM124AJ
1789,102343,5.9,2017,RM26HJ
1790,102344,5.4,2017,RM143UX
1792,139307,6.5,2017,RM14YY
1793,137145,5.2,2017,RM79NX
1794,137040,4.5,2017,RM113BX
1795,138326,4.6,2017,RM12RR
1796,136663,5.1,2017,RM124YB
1797,136600,4.1,2017,RM143HS
1798,137233,4.7,2017,RM142QR
1799,136090,7.5,2017,RM39XR
1863,138368,13.4,2017,UB32SE
1864,140941,10.7,2017,HA61QG
1865,141035,3.4,2017,UB48JP
1866,142887,18.4,2017,UB31DH
1867,140748,5.1,2017,HA40BY
1868,137407,4.5,2017,HA48EE
1869,136329,3.1,2017,UB40LT
1879,137633,5.1,2017,UB83RF
1880,136519,6.1,2017,HA52LX
1881,137635,4.6,2017,UB108AB
1882,136711,5.6,2017,HA40LS
1883,136768,4.7,2017,UB82PR
1884,137829,4.7,2017,HA61QN
1885,137077,4.7,2017,UB32SE
1886,137078,5.6,2017,UB48JP
1887,137925,5.4,2017,UB108QY
1888,102449,7.0,2017,UB100EX
1889,136631,4.4,2017,UB100EJ
1890,102451,7.5,2017,UB31PB
1891,137844,5.9,2017,UB49LE
1892,134797,7.9,2017,UB83GA
1893,135004,8.8,2017,UB96ET
1894,141382,46.4,2017,UB78AB
1957,138266,4.4,2017,TW134AB
1958,139276,5.3,2017,TW31AX
1960,142126,6.7,2017,TW149PE
1961,142781,3.6,2017,TW137EF
1962,137907,5.5,2017,W43UN
1963,137009,6.0,2017,TW149PE
1964,137618,6.5,2017,TW137EF
1965,139095,4.5,2017,TW80PG
1966,138924,5.3,2017,TW50QR
1967,136341,4.4,2017,TW34EP
1968,102539,3.1,2017,TW45JD
1969,136522,4.1,2017,TW59PD
1970,137940,4.7,2017,TW75LJ
1971,139989,4.2,2017,TW75BB
1972,137995,4.1,2017,TW33EJ
1973,137928,4.9,2017,TW76XF
1974,102545,4.8,2017,TW89LB
1975,140360,8.8,2017,TW137EF
1976,102554,8.0,2017,TW149QZ
2016,137848,4.4,2017,KT33TU
2017,102599,5.3,2017,KT92JS
2018,137917,4.3,2017,KT65AS
2019,136615,2.8,2017,KT25PL
2020,137060,4.8,2017,KT67EY
2022,136910,3.8,2017,KT26RL
2023,137299,4.2,2017,KT35PE
2024,138459,4.2,2017,KT35AR
2025,137859,5.8,2017,KT36NU
2026,137678,5.3,2017,KT64TU
2028,142740,6.1,2017,KT92HR
2074,138495,4.5,2017,SM46DU
2075,102673,5.0,2017,SW197HB
2076,102674,5.2,2017,SW200JL
2077,102679,4.4,2017,SW209AD
2078,102681,4.5,2017,SW194NS
2079,102683,4.0,2017,SW208HA
2080,131897,4.5,2017,CR41BP
2081,134003,5.1,2017,CR41SF
2082,102697,23.4,2017,CR43BE
2151,138196,4.3,2017,E154RZ
2152,139703,4.5,2017,E201BD
2153,139834,8.3,2017,E33DU
2154,140373,5.7,2017,E62PS
2155,141082,3.5,2017,E162TX
2157,142903,7.0,2017,E162RD
2158,102776,3.4,2017,E126JB
2159,102777,4.3,2017,E164DD
2160,102778,5.6,2017,E139AE
2161,136669,4.0,2017,E63SQ
